epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.57047E+12,2019-10-07T13.22.27.251,18.939,-109.604,55.671,33.46
1.57047E+12,2019-10-07T13.22.27.271,18.959,-77.637,125.381,22.607
1.57047E+12,2019-10-07T13.22.27.290,18.978,-65.625,30.671,-7.241
1.57047E+12,2019-10-07T13.22.27.311,18.999,-79.024,-93.293,-20.549
1.57047E+12,2019-10-07T13.22.27.331,19.019,-85.061,-111.28,-19.741
1.57047E+12,2019-10-07T13.22.27.352,19.04,-57.973,-39.726,-10.762
1.57047E+12,2019-10-07T13.22.27.372,19.06,-38.216,35.091,0.762
1.57047E+12,2019-10-07T13.22.27.391,19.079,-53.262,43.826,-1.418
1.57047E+12,2019-10-07T13.22.27.412,19.1,-86.082,2.652,-13.521
1.57047E+12,2019-10-07T13.22.27.432,19.12,-112.104,-57.195,-24.558
1.57047E+12,2019-10-07T13.22.27.453,19.141,-119.238,-82.652,-17.927
1.57047E+12,2019-10-07T13.22.27.472,19.16,-118.75,-36.814,-7.668
1.57047E+12,2019-10-07T13.22.27.492,19.18,-128.003,-1.86,-15.93
1.57047E+12,2019-10-07T13.22.27.513,19.201,-133.72,-19.375,-26.57
1.57047E+12,2019-10-07T13.22.27.533,19.221,-129.451,-27.165,-24.771
1.57047E+12,2019-10-07T13.22.27.552,19.24,-133.613,-11.326,-17.21
1.57047E+12,2019-10-07T13.22.27.573,19.261,-142.104,0.412,-8.841
1.57047E+12,2019-10-07T13.22.27.593,19.281,-152.165,-9.893,-10.503
1.57047E+12,2019-10-07T13.22.27.614,19.302,-154.71,-37.607,-17.149
1.57047E+12,2019-10-07T13.22.27.634,19.322,-142.027,-58.46,-25.137
1.57047E+12,2019-10-07T13.22.27.653,19.341,-110.869,-78.079,-29.085
1.57047E+12,2019-10-07T13.22.27.674,19.362,-66.265,-90.32,-23.765
1.57047E+12,2019-10-07T13.22.27.694,19.382,-4.985,-91.021,-15.32
1.57047E+12,2019-10-07T13.22.27.715,19.403,83.186,-61.082,-18.613
1.57047E+12,2019-10-07T13.22.27.734,19.422,151.677,-0.381,-14.024
1.57047E+12,2019-10-07T13.22.27.755,19.443,161.082,75.274,-4.436
1.57047E+12,2019-10-07T13.22.27.775,19.463,192.835,139.802,11.966
1.57047E+12,2019-10-07T13.22.27.796,19.484,243.247,111.296,19.619
1.57047E+12,2019-10-07T13.22.27.815,19.503,282.774,-10.366,10.579
1.57047E+12,2019-10-07T13.22.27.835,19.523,302.5,-135,-6.311
1.57047E+12,2019-10-07T13.22.27.856,19.544,312.271,-147.409,-20.152
1.57047E+12,2019-10-07T13.22.27.876,19.564,307.607,-12.241,-16.936
1.57047E+12,2019-10-07T13.22.27.897,19.585,280.457,121.204,10.091
1.57047E+12,2019-10-07T13.22.27.916,19.604,240.701,136.113,38.506
1.57047E+12,2019-10-07T13.22.27.936,19.624,196.524,92.088,43.445
1.57047E+12,2019-10-07T13.22.27.957,19.645,152.256,46.296,29.207
1.57047E+12,2019-10-07T13.22.27.977,19.665,110.03,46.22,18.659
1.57047E+12,2019-10-07T13.22.27.996,19.684,48.887,40.244,10.595
1.57047E+12,2019-10-07T13.22.28.017,19.705,-14.512,-10.442,-4.97
1.57047E+12,2019-10-07T13.22.28.037,19.725,-68.598,-46.677,-14.771
1.57047E+12,2019-10-07T13.22.28.058,19.746,-113.46,-61.616,-11.402
1.57047E+12,2019-10-07T13.22.28.077,19.765,-177.149,17.226,13.704
1.57047E+12,2019-10-07T13.22.28.097,19.785,-137.53,153.201,13.826
1.57047E+12,2019-10-07T13.22.28.118,19.806,-96.463,18.049,-21.768
1.57047E+12,2019-10-07T13.22.28.138,19.826,-86.616,-88.491,-37.424
1.57047E+12,2019-10-07T13.22.28.159,19.847,-90,-1.799,-24.604
1.57047E+12,2019-10-07T13.22.28.178,19.866,-102.546,81.814,-1.936
1.57047E+12,2019-10-07T13.22.28.198,19.886,-91.296,92.546,21.86
1.57047E+12,2019-10-07T13.22.28.219,19.907,-52.607,104.009,22.287
1.57047E+12,2019-10-07T13.22.28.239,19.927,-39.543,80.381,8.689
1.57047E+12,2019-10-07T13.22.28.258,19.946,-53.247,-2.149,-7.652
1.57047E+12,2019-10-07T13.22.28.279,19.967,-44.345,-66.707,-7.348
1.57047E+12,2019-10-07T13.22.28.299,19.987,-22.927,-23.003,1.89
1.57047E+12,2019-10-07T13.22.28.320,20.008,-20.152,39.771,0.762
1.57047E+12,2019-10-07T13.22.28.339,20.027,-37.149,21.768,-4.71
1.57047E+12,2019-10-07T13.22.28.360,20.048,-63.46,-13.552,-8.125
1.57047E+12,2019-10-07T13.22.28.380,20.068,-85.777,-15.838,-6.585
1.57047E+12,2019-10-07T13.22.28.401,20.089,-105.305,12.256,-6.082
1.57047E+12,2019-10-07T13.22.28.421,20.109,-124.924,18.598,-11.067
1.57047E+12,2019-10-07T13.22.28.440,20.128,-141.235,-16.86,-17.515
1.57047E+12,2019-10-07T13.22.28.461,20.149,-151.235,-50.198,-20.61
1.57047E+12,2019-10-07T13.22.28.481,20.169,-156.845,-49.085,-21.113
1.57047E+12,2019-10-07T13.22.28.502,20.19,-159.36,-41.616,-24.924
1.57047E+12,2019-10-07T13.22.28.521,20.209,-168.537,-43.018,-31.021
1.57047E+12,2019-10-07T13.22.28.541,20.229,-174.436,-55.595,-30.03
1.57047E+12,2019-10-07T13.22.28.562,20.25,-175.412,-64.954,-29.04
1.57047E+12,2019-10-07T13.22.28.582,20.27,-180.412,-73.399,-32.485
1.57047E+12,2019-10-07T13.22.28.601,20.289,-160.93,-82.988,-31.509
1.57047E+12,2019-10-07T13.22.28.622,20.31,-109.832,-83.506,-25.777
1.57047E+12,2019-10-07T13.22.28.642,20.33,-50.655,-77.241,-25.183
1.57047E+12,2019-10-07T13.22.28.663,20.351,14.954,-53.293,-32.866
1.57047E+12,2019-10-07T13.22.28.682,20.37,93.613,-19.527,-38.506
1.57047E+12,2019-10-07T13.22.28.702,20.39,156.22,13.689,-37.256
1.57047E+12,2019-10-07T13.22.28.723,20.411,182.79,42.607,-26.555
1.57047E+12,2019-10-07T13.22.28.743,20.431,218.796,82.348,-11.845
1.57047E+12,2019-10-07T13.22.28.764,20.452,267.637,96.585,-3.628
1.57047E+12,2019-10-07T13.22.28.783,20.471,311.951,52.256,-3.72
1.57047E+12,2019-10-07T13.22.28.803,20.491,332.302,-32.088,-14.497
1.57047E+12,2019-10-07T13.22.28.824,20.512,340.579,-66.829,-21.905
1.57047E+12,2019-10-07T13.22.28.844,20.532,333.11,-23.354,-16.677
1.57047E+12,2019-10-07T13.22.28.863,20.551,298.994,67.195,-1.646
1.57047E+12,2019-10-07T13.22.28.884,20.572,250.274,139.939,18.979
1.57047E+12,2019-10-07T13.22.28.904,20.592,207.027,128.72,19.878
1.57047E+12,2019-10-07T13.22.28.925,20.613,157.241,63.293,6.402
1.57047E+12,2019-10-07T13.22.28.944,20.632,95.747,-3.354,-8.537
1.57047E+12,2019-10-07T13.22.28.965,20.653,33.78,-55.412,-14.146
1.57047E+12,2019-10-07T13.22.28.985,20.673,-20.762,-56.982,-9.238
1.57047E+12,2019-10-07T13.22.29.006,20.694,-68.369,-23.628,-7.668
1.57047E+12,2019-10-07T13.22.29.026,20.714,-122.332,-32.622,-8.628
1.57047E+12,2019-10-07T13.22.29.045,20.733,-189.787,23.933,21.54
1.57047E+12,2019-10-07T13.22.29.066,20.754,-126.433,181.235,14.299
1.57047E+12,2019-10-07T13.22.29.086,20.774,-83.765,32.287,-21.677
1.57047E+12,2019-10-07T13.22.29.107,20.795,-87.652,-61.341,-25.183
1.57047E+12,2019-10-07T13.22.29.126,20.814,-95.366,7.973,-4.07
1.57047E+12,2019-10-07T13.22.29.146,20.834,-90.884,88.78,15.93
1.57047E+12,2019-10-07T13.22.29.167,20.855,-72.576,134.802,20.351
1.57047E+12,2019-10-07T13.22.29.187,20.875,-48.079,84.405,7.439
